Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
12,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,1B,001,A,Letter Grade,A+,Found Us Air Force
7,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
1,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,1B,001,C,Letter Grade,C,Found Us Air Force
1,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,1B,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
6,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
2,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
2,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
1,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,2B,001,C,Letter Grade,C,Evolut Of Air Power
6,57215,,57215,,57215,Christopher Carroll; Christopher Francis,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
3,57218,,57218,,57218,Christopher Carroll; Christopher Francis,,Aerospace Studies,135B,001,A,Letter Grade,A+,Air Force Studies
4,57218,,57218,,57218,Christopher Carroll; Christopher Francis,,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
1,57218,,57218,,57218,Christopher Carroll; Christopher Francis,,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
1,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,A,Letter Grade,A+,Fresh Composition
5,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
3,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
1,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
4,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
4,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
2,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
19,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
20,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & Cul
12,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
4,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,B,Letter Grade,B,Africa:  Hist & Cul
7,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,B,Letter Grade,B-,Africa:  Hist & Cul
2,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,C,Letter Grade,C+,Africa:  Hist & Cul
2,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,C,Letter Grade,C,Africa:  Hist & Cul
2,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,C,Letter Grade,C-,Africa:  Hist & Cul
1,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,D,Letter Grade,D-,Africa:  Hist & Cul
3,00515,,00515,,00515,G. Ugo Nwokeji,,African American Studies,4B,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
12,00527,,00527,,00527,James Taylor,,African American Studies,5B,001,A,Letter Grade,A,Afam Life & Cul U S
